"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"79","Rowland Garrett","SF","24","CHI","70","1183","14.2",".516",".205","7.2","14.8","11.0","6.0","1.0","0.6","1.6","1.5","3.1",".126","-0.1","-0.8","-0.9","0.3"
"80","John Gianelli","C","24","NYK","80","2797","12.4",".506",".269","7.9","18.0","12.9","8.0","0.6","2.3","2.7","2.7","5.5",".094","-0.2","0.3","0.1","1.5"
"81","Dick Gibbs","SF","26","WSB","59","424","11.0",".449",".337","6.1","8.3","7.2","6.2","1.3","0.4","-0.1","0.6","0.4",".050","-3.3","-1.0","-4.3","-0.2"
"82","Herm Gilliam","SG","28","ATL","60","1393","16.2",".459",".154","5.0","9.5","7.1","19.1","2.5","0.5","1.4","1.1","2.5",".087","0.9","0.2","1.1","1.1"
"83","Gail Goodrich*","SG","31","LAL","72","2668","18.4",".511",".265","3.5","4.4","3.9","25.7","1.7","0.1","4.9","0.6","5.5",".099","2.0","-1.7","0.2","1.5"
"84","Leonard Gray","PF","23","SEA","75","2280","12.6",".514",".186","6.0","15.6","10.7","10.0","1.3","0.6","1.9","2.0","4.0",".084","-1.2","-0.4","-1.7","0.2"
"85","Lamar Green","C","27","NOJ","15","280","8.4",".362",".286","9.7","30.0","19.5","7.6","0.6","0.9","-0.4","0.3","-0.1","-0.014","-3.7","-0.6","-4.3","-0.2"
"86","Matt Guokas","SG","30","CHI","82","2089","10.0",".539",".206","1.2","5.8","3.5","12.6","1.0","0.5","2.4","1.9","4.3",".099","-1.3","0.2","-1.2","0.4"
"87","Happy Hairston","PF","32","LAL","74","2283","16.2",".579",".506","12.8","26.7","19.8","10.2","1.0","0.2","4.4","2.6","7.0",".146","1.2","-0.9","0.3","1.3"
"88","Phil Hankinson","SF","23","BOS","3","24","16.9",".545",".000","4.2","24.6","14.5","12.7","1.9","0.0","0.0","0.0","0.1",".146","-3.5","0.3","-3.2","0.0"
